version,pattern,thread,n_rows,n_cols,time_elapsed
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
histo_seq, random, 16, 5000,5000,2.241999
histo_seq, random, 16,50000,500,2.235559
histo_seq, random, 16,500,50000,2.245886
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.402459
histo_seq, random, 16,10000,100,1.231349
histo_seq, random, 16,100,10000,1.224823
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
histo_seq, gradient, 16, 3000,3000,
histo_seq, gradient, 16,30000,300,
histo_seq, gradient, 16,300,30000,
histo_seq, uni, 16, 3000,3000,
histo_seq, uni, 16,30000,300,
histo_seq, uni, 16,300,30000,
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.079559
histo_seq, random, 16,30000,300,8.038640
histo_seq, random, 16,300,30000,6.461030
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
histo_seq, random, 16, 5000,5000,2.237535
histo_seq, random, 16,50000,500,2.245453
histo_seq, random, 16,500,50000,2.426444
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.145760
histo_seq, random, 16,10000,100,1.197845
histo_seq, random, 16,100,10000,1.482655
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
histo_seq, gradient, 16, 3000,3000,
histo_seq, gradient, 16,30000,300,
histo_seq, gradient, 16,300,30000,
histo_seq, uni, 16, 3000,3000,
histo_seq, uni, 16,30000,300,
histo_seq, uni, 16,300,30000,
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.090243
histo_seq, random, 16,30000,300,8.081444
histo_seq, random, 16,300,30000,8.038559
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
