n_nums,buffersize,runtime
3001,100,5.348397
3001,100,5.411288
3001,100,5.413178
3001,100,5.543359
3001,100,6.275711
3001,100,5.902543
3001,100,6.505286
3001,100,5.079469
3001,100,6.174545
3001,100,6.029568
3001,100,6.449094
3001,100,5.716717
3101,100,6.400416
3101,100,6.004364
3101,100,6.244174
3101,100,6.668154
3101,100,6.117301
3101,100,6.053591
3101,100,5.712846
3101,100,5.872694
3101,100,5.716124
3101,100,6.099316
3101,100,5.709254
3101,100,5.269238
3101,100,5.830563
3101,100,5.629121
3101,100,6.095063
3101,100,5.851763
3101,100,6.496566
3101,100,5.794896
3101,100,5.689164
3101,100,5.971082
3201,100,6.989869
3201,100,6.226453
3201,100,6.944628
3201,100,6.319648
3201,100,7.081022
3201,100,5.950174
3201,100,7.309122
3201,100,5.990523
3201,100,6.758042
3201,100,6.845465
3201,100,6.296679
3201,100,7.029826
3201,100,6.261444
3201,100,6.133442
3201,100,7.100003
3201,100,5.324336
3201,100,6.61836
3201,100,6.253208
3201,100,6.072696
3201,100,7.017364
3301,100,6.22799
3301,100,6.265818
3301,100,6.683015
3301,100,6.450819
3301,100,7.205173
3301,100,6.584938
3301,100,6.345156
3301,100,6.403027
3301,100,5.87338
3301,100,6.359007
3301,100,6.414501
3301,100,6.50362
3301,100,6.152186
3301,100,6.152715
3301,100,6.646033
3301,100,6.97273
3301,100,6.721169
3301,100,7.600891
3301,100,5.917638
3301,100,5.85254
3401,100,6.138228
3401,100,6.872338
3401,100,8.006392
3401,100,6.84864
3401,100,7.16758
3401,100,6.977621
3401,100,6.457955
3401,100,6.328649
3401,100,7.907201
3401,100,7.001395
3401,100,6.707147
3401,100,7.047136
3401,100,6.584796
3401,100,7.123232
3401,100,7.190387
3401,100,5.663439
3401,100,7.171137
3401,100,6.470243
3401,100,6.803049
3401,100,5.653111
3501,100,7.270532
3501,100,8.260747
3501,100,6.808051
3501,100,7.017081
3501,100,6.89247
3501,100,7.836466
3501,100,7.524065
3501,100,7.275554
3501,100,7.224011
3501,100,7.747612
3501,100,6.180442
3501,100,7.178857
3501,100,6.896834
3501,100,7.247218
3501,100,7.591391
3501,100,7.374438
3501,100,8.874331
3501,100,6.940547
3501,100,7.707706
3501,100,6.692426
3601,100,7.489745
3601,100,8.219942
3601,100,7.348012
3601,100,6.918539
3601,100,6.67976
3601,100,7.414032
3601,100,6.738946
3601,100,7.625728
3601,100,7.036255
3601,100,7.437247
3601,100,6.624422
3601,100,6.566217
3601,100,1.018131
3601,100,7.974178
3601,100,6.763525
3601,100,6.875117
3601,100,7.553889
3601,100,7.710401
3601,100,7.2898
3601,100,7.121777
3701,100,5.884228
3701,100,6.919247
3701,100,8.174756
3701,100,6.806296
3701,100,7.542986
3701,100,7.80358
3701,100,7.966846
3701,100,7.347346
3701,100,8.066867
3701,100,7.934254
3701,100,7.747835
3701,100,7.875339
3701,100,8.215106
3701,100,8.481266
3701,100,7.73039
3701,100,7.77565
3701,100,8.225747
3701,100,8.477833
3701,100,7.95994
3701,100,9.00412
3801,100,8.028529
3801,100,8.248051
3801,100,7.594513
3801,100,7.957139
3801,100,8.250982
3801,100,8.282356
3801,100,8.943553
3801,100,7.7854
3801,100,9.128187
3801,100,7.156829
3801,100,8.451417
3801,100,7.254699
3801,100,7.202137
3801,100,7.342864
3801,100,7.812037
3801,100,8.666085
3801,100,7.196557
3801,100,7.39276
3801,100,8.296229
3801,100,9.201553
3901,100,7.234327
3901,100,7.071539
3901,100,8.486722
3901,100,7.60135
3901,100,7.596909
3901,100,7.673528
3901,100,7.629976
3901,100,8.971404
3901,100,8.00998
3901,100,8.534668
3901,100,7.612005
3901,100,8.366149
3901,100,7.930762
3901,100,7.876933
3901,100,8.038397
3901,100,9.617112
3901,100,9.347404
3901,100,7.244236
3901,100,8.750372
3901,100,7.565096
4001,100,7.997573
4001,100,7.265582
4001,100,8.677111
4001,100,9.225363
4001,100,9.258173
4001,100,8.664712
4001,100,7.980123
4001,100,8.517974
4001,100,8.789086
4001,100,7.69404
4001,100,7.293667
4001,100,8.756362
4001,100,9.106764
4001,100,8.597755
4001,100,7.211664
4001,100,8.411122
4001,100,7.559951
4001,100,9.049712
4001,100,8.612911
4001,100,8.746023
4101,100,9.301074
4101,100,8.532237
4101,100,8.415175
4101,100,8.345725
4101,100,9.346005
4101,100,8.788359
4101,100,8.244025
4101,100,9.166616
4101,100,9.658228
4101,100,7.968531
4101,100,8.426831
4101,100,7.552953
4101,100,8.51245
4101,100,8.281918
4101,100,9.65088
4101,100,8.314576
4101,100,8.737886
4101,100,8.420187
4101,100,9.791712
4101,100,9.014129
4201,100,9.68773
4201,100,7.889611
4201,100,8.197939
4201,100,9.190497
4201,100,9.865436
4201,100,8.94071
4201,100,9.360685
4201,100,8.228731
4201,100,8.575987
4201,100,9.349357
4201,100,7.208307
4201,100,8.677082
4201,100,8.87966
4201,100,9.10161
4201,100,8.558367
4201,100,9.704183
4201,100,9.286795
4201,100,8.248277
4201,100,8.991792
4201,100,8.390732
5801,100,1.345867
4301,100,8.736904
5801,100,1.347812
4301,100,1.03993
4301,100,7.979401
5801,100,1.644687
4301,100,9.986843
5801,100,1.410559
4301,100,9.568387
4301,100,1.056044
5801,100,1.223763
4301,100,8.869915
5801,100,1.624825
4301,100,9.324914
5801,100,1.36442
4301,100,8.82086
5901,100,1.384662
4301,100,8.733757
5901,100,1.405727
4301,100,1.040016
5901,100,1.328917
4301,100,9.134062
4301,100,8.397801
5901,100,1.571767
4301,100,8.92372
5901,100,1.333962
4301,100,8.750887
5901,100,1.307437
4301,100,9.721102
4301,100,8.708183
5901,100,1.200284
4301,100,8.022906
5901,100,1.444252
4301,100,9.329681
5901,100,1.438342
4301,100,9.872316
4401,100,8.456547
4401,100,9.739231
4401,100,8.734495
4401,100,1.002803
4401,100,9.447656
4401,100,8.885481
4401,100,8.593883
4401,100,1.006172
4401,100,9.512154
4401,100,8.982045
4401,100,8.985801
4401,100,1.062821
4401,100,1.053377
4401,100,1.026392
4401,100,9.701582
4401,100,9.729954
4401,100,8.753302
4401,100,9.118137
4401,100,8.593413
4401,100,1.100547
4501,100,9.928476
4501,100,1.123071
4501,100,9.699076
4501,100,8.900345
4501,100,1.018583
4501,100,1.110242
4501,100,8.855833
4501,100,9.857661
4501,100,9.143832
4501,100,8.92208
4501,100,1.023139
4501,100,1.029389
4501,100,8.541862
4501,100,1.014699
4501,100,9.196132
4501,100,9.229162
4501,100,9.44446
4501,100,8.799677
4501,100,1.159525
4501,100,1.090911
4601,100,1.040916
4601,100,1.025619
4601,100,8.745004
4601,100,9.72818
4601,100,1.032137
4601,100,1.077432
4601,100,1.120955
4601,100,9.874511
4601,100,9.863139
4601,100,1.024982
4601,100,9.194969
4601,100,1.008254
4601,100,1.061903
4601,100,9.830943
4601,100,1.080337
4601,100,1.076185
4601,100,9.552499
4601,100,1.23056
4601,100,9.796992
4601,100,1.149046
4701,100,1.009261
4701,100,1.00629
4701,100,9.503413
4701,100,9.309215
4701,100,9.730923
4701,100,1.068252
4701,100,1.055311
4701,100,9.400438
4701,100,9.92503
4701,100,1.133649
4701,100,9.240109
4701,100,1.014262
4701,100,1.094212
4701,100,9.987402
4701,100,1.003892
4701,100,1.176011
4701,100,9.278008
4701,100,9.724082
4701,100,1.128088
4701,100,1.092008
4801,100,1.105224
4801,100,1.060003
4801,100,1.206249
4801,100,1.228735
4801,100,1.099363
4801,100,1.017247
4801,100,1.160881
4801,100,1.193791
4801,100,1.212793
4801,100,1.068025
4801,100,1.200889
4801,100,1.04157
4801,100,1.055203
4801,100,1.047585
4801,100,1.08382
4801,100,1.081322
4801,100,9.794741
4801,100,1.0115
4801,100,1.175139
4801,100,1.06199
4901,100,1.169378
4901,100,1.101186
4901,100,1.040465
4901,100,1.162495
4901,100,1.11717
4901,100,1.111265
4901,100,1.145791
4901,100,1.167629
4901,100,1.007308
4901,100,1.175659
4901,100,1.048853
4901,100,1.099972
4901,100,1.176765
4901,100,1.098078
4901,100,1.117196
4901,100,1.128815
4901,100,1.246469
4901,100,1.03142
4901,100,1.294117
4901,100,1.185764
5001,100,1.27474
5001,100,1.170358
5001,100,1.020372
5001,100,1.016489
5001,100,1.166319
5001,100,1.071055
5001,100,1.207497
5001,100,1.11408
5001,100,1.121372
5001,100,1.258105
5001,100,9.890299
5001,100,1.080076
5001,100,1.203741
5001,100,1.031186
5001,100,1.134061
5001,100,1.074446
5001,100,1.065535
5001,100,1.112151
5001,100,1.053662
5001,100,1.174366
5101,100,1.385909
5101,100,1.238632
5101,100,1.149938
5101,100,1.255722
5101,100,1.157066
5101,100,1.120331
5101,100,1.0981
5101,100,1.128787
5101,100,1.034864
5101,100,1.279246
5101,100,1.177898
5101,100,1.27921
5101,100,1.353881
5101,100,1.190661
5101,100,1.22802
5101,100,1.05154
5101,100,1.210455
5101,100,1.277059
5101,100,1.061872
5101,100,1.071799
5201,100,1.254095
5201,100,1.128322
5201,100,1.162736
5201,100,1.187753
5201,100,1.144561
5201,100,1.227378
5201,100,1.092096
5201,100,1.169571
5201,100,1.121759
5201,100,1.236677
5201,100,1.128646
5201,100,1.026523
5201,100,1.199072
5201,100,1.206073
5201,100,1.289619
5201,100,1.128248
5201,100,1.362077
5201,100,1.225793
5201,100,1.249541
5201,100,1.432713
5301,100,1.281817
5301,100,1.400974
5301,100,1.032455
5301,100,1.259297
5301,100,1.166213
5301,100,1.360341
5301,100,1.109392
5301,100,1.251225
5301,100,1.239929
5301,100,1.194875
5301,100,1.281562
5301,100,1.128047
5301,100,1.289979
5301,100,1.252444
5301,100,1.350964
5301,100,1.194951
5301,100,1.103083
5301,100,1.290903
5301,100,1.43743
5301,100,1.366394
5401,100,1.185465
5401,100,1.259917
5401,100,1.22419
5401,100,1.243811
5401,100,1.152852
5401,100,1.268652
5401,100,1.129346
5401,100,1.401546
5401,100,1.219794
5401,100,1.471637
5401,100,1.294142
5401,100,1.221792
5401,100,1.161926
5401,100,1.312636
5401,100,1.116061
5401,100,1.45354
5401,100,1.226957
5401,100,1.094351
5401,100,1.355769
5401,100,1.150818
5501,100,1.218387
5501,100,1.301778
5501,100,1.214609
5501,100,1.298216
5901,100,1.407998
5901,100,1.655973
5901,100,1.505152
5901,100,1.349738
5901,100,1.489218
5501,100,1.345606
5501,100,1.176421
5901,100,1.490225
5901,100,1.492819
5901,100,1.303606
5901,100,1.5027
6001,100,1.559085
6001,100,1.748947
6001,100,1.444162
6001,100,1.408444
6001,100,1.413177
6001,100,1.711101
6001,100,1.412245
6001,100,1.363695
6001,100,1.463651
6001,100,1.299188
6001,100,1.73238
6001,100,1.494338
6001,100,1.390958
6001,100,1.456826
6001,100,1.600008
6001,100,1.436457
6001,100,1.404575
6001,100,1.368418
6001,100,1.607695
6001,100,1.514255
6101,100,1.558008
6101,100,1.548567
6101,100,1.275062
6101,100,1.498294
6101,100,1.750311
6101,100,1.436923
6101,100,1.455081
6101,100,1.49407
6101,100,1.446362
6101,100,1.442234
6101,100,1.466829
6101,100,1.593116
6101,100,1.605362
6101,100,1.378697
6101,100,1.415836
5501,100,1.305412
5501,100,1.181605
5501,100,1.614652
5501,100,1.190919
5501,100,1.232485
5501,100,1.403152
5501,100,1.327918
5501,100,1.337
5501,100,1.540173
5501,100,1.196541
5501,100,1.210894
5501,100,1.176926
5601,100,1.282645
5601,100,1.420817
5601,100,1.216335
5601,100,1.575564
5601,100,1.315335
5601,100,1.327876
5601,100,1.155609
5601,100,1.244092
5601,100,1.447027
5601,100,1.398272
5601,100,1.316874
5601,100,1.391356
5601,100,1.27717
5601,100,1.341598
5601,100,1.344654
